"gene","p"
"MICU3",0.253592129045865
"C14orf132",0.253846167646771
"AC099792.1",0.254538601636623
"NCF1C",0.25669141271612
"RUNX1T1",0.256940204661603
"LRRC17",0.258145221862603
"AC097634.1",0.258169892586889
"APOBEC3G",0.259154588195695
"MYEF2",0.259829634505784
"HOXD1",0.260501117486914
"ANO4",0.261586986134631
"DDIT4L",0.262418327628326
"UCN2",0.263338443149084
"SERPIND1",0.264628667213673
"AC112694.2",0.264711222808876
"GPX8",0.264712837823256
"HAS2-AS1",0.265298864104165
"DAB1",0.265317513084393
"FNDC4",0.265855933975701
"PPEF1",0.266320452937539
"NKPD1",0.267037160125439
"TMEM45A",0.268608230360371
"GPR15",0.268619453304972
"KIRREL1",0.26979175415147
"PCDH19",0.270472430160705
"GFI1",0.270771923031389
"LINC00578",0.271435052362978
"COL8A2",0.27492263836908
"KCTD16",0.275010352164172
"DCSTAMP",0.276299280678825
"IGHV3-13",0.276432565247504
"SDC2",0.276740612697255
"TRBV20-1",0.27674505169487
"HCG11",0.279309326134617
"LY6G6F",0.280724720982493
"LINC00954",0.281489969268594
"ABCD2",0.283342369613156
"HMCN1",0.284714978219668
"TMEM47",0.286074504256306
"STC1",0.286145931191188
"NNMT",0.287410608165472
"AC226118.1",0.288621955802907
"AL133482.1",0.28879742715109
"ZNF683",0.28879747204183
"TJP3",0.289832570213257
"FSTL1",0.290524202149424
"SLC2A12",0.291398714234857
"ST6GALNAC5",0.291769025345118
"GZMB",0.292808610063272
"WNT2",0.292960140361141
"CFAP74",0.293241347687168
"SRSF12",0.294012971777912
"CASP1",0.294498478486634
"EDAR",0.295670743891258
"LGALS17A",0.296496892694049
"PCDHGA11",0.296544621800846
"SMPDL3A",0.296975228759928
"THBS1",0.299088003407759
"SOX5",0.299107836973958
"PRKD1",0.299652950278198
"CPNE6",0.299664746498646
"MITF",0.301629421825496
"MRPL12",0.30268883923138
"TNFRSF17",0.303684529133639
"ZEB1",0.304642473458679
"SCN2A",0.304782375195771
"VDAC2P5",0.30547060840868
"ARSI",0.305746901754289
"EOMES",0.306046195401205
"TRBV3-1",0.307142687429359
"BEND6",0.307406082505451
"ZNF610",0.307860972318243
"AC009093.1",0.31110817867926
"TIMP3",0.312140449479736
"ZNF521",0.312386837930712
"PRRX1",0.313871614611676
"SLCO4A1-AS1",0.314819904933106
"FIBIN",0.314917616821556
"FAM110B",0.315035804620892
"PDZK1IP1",0.31505421107496
"TBX21",0.315352600875828
"TRBV7-2",0.31559174521549
"NEB",0.315993895020731
"DZIP1",0.316417630766257
"GBP3",0.317174468830812
"RGS17",0.317237954319775
"PLXDC2",0.317271356563852
"TRDC",0.317797678807548
"BNC2",0.318238237865005
"IGFBP5",0.318809263493078
"EVC",0.319355741450083
"IGHV3-7",0.319674641464981
"ANGPTL2",0.321865460077704
"PSME2P2",0.323977791452827
"CCDC68",0.325076167197628
"IFI35",0.325169786223686
"BX322234.1",0.325873871370722
"LINC01235",0.326270478714084
"LILRB5",0.32651080168755
"IGF2",0.327599832950406
"IGHV3-73",0.328093179019868
"ETV7",0.328217005491827
"HLA-DMA",0.329148681987426
"COL5A1",0.330120059171571
"AC026368.1",0.330315841410705
"IGKV1-17",0.330455059236093
"AC108134.3",0.331124244075935
"NR2F2-AS1",0.332968838058327
"AL590004.3",0.333121214873234
"CDKL5",0.333308689974497
"FBN1",0.33467918146419
"IGHV6-1",0.335387242983936
"AC010834.3",0.335708898487634
"AP000695.1",0.336653210995163
"LSAMP",0.338650636221241
"CCR7",0.339926043761485
"FOXC2",0.341165750164185
"SLAMF1",0.341712407712362
"LINC01197",0.341828071968865
"LINC01133",0.342671263122112
"IGHV3-66",0.34345881963308
"IGHV1-45",0.343869838812568
"EBI3",0.344689713419505
"SUGT1P3",0.346109707461597
"NR2F1-AS1",0.346662472793029
"COL27A1",0.346942562232389
"FBLN2",0.347759301324282
"ACAP1",0.348844424029323
"CASC15",0.348858386121808
"MAP9",0.350730026286182
"NKG7",0.351761842544898
"DELEC1",0.352423491755837
"IGHV3-6",0.354713394233827
"AC055717.2",0.356311316987015
"ENDOG",0.358267903119505
"SRPX2",0.35834342346965
"GZMH",0.358879358944592
"TIMP2",0.359517976838878
"AL354993.1",0.361236350256042
"TNFAIP6",0.362991169037968
"PCOLCE",0.364451954087518
"SGCD",0.365914649522389
"AC107294.2",0.366347809352998
"TIGIT",0.366403975163486
"SH3TC2",0.368782508160316
"IGLV2-8",0.370876843223241
"FUOM",0.371170736459175
"BCAT1",0.371494051984743
"PRKG1",0.374471340524422
"GPA33",0.375114095615723
"MCC",0.375973482423619
"AC004837.2",0.376533223966988
"POT1-AS1",0.376929105537301
"FCRL6",0.377341208955641
"MATN3",0.377727749056987
"RASAL3",0.379558112947385
"IGHV4-61",0.379589925815686
"IGKV1OR2-6",0.3797782735177
"IGLV3-19",0.380193499230898
