"gene","HR","p","adj_p"
"NRP2",1.12516679825104,0.115818916754393,0.640549519192663
"AEBP1",1.09097008432853,0.117675071035525,0.642942424407807
"PCDHB8",1.15764181934615,0.11760259809365,0.642942424407807
"SLC2A12",0.888446089930277,0.116856361067805,0.642942424407807
"GZMK",1.17906042305417,0.119895777248838,0.652444892257731
"DPYSL3",1.09897238384747,0.121113979805845,0.656437770547679
"CHST1",1.1819053207988,0.122258790291413,0.657383574781211
"USP51",1.31160362057877,0.122226317097624,0.657383574781211
"ASB2",1.11793247652601,0.122977124460035,0.658632425467779
"RBMS1",1.12886428354331,0.124015506997489,0.661578787329125
"SLC25A5",0.86371986302703,0.125337673909405,0.666009992734289
"CC2D2A",1.17496894076029,0.135676140797863,0.673367712387249
"PRDM6",1.21447950119545,0.13077364971471,0.673367712387249
"CCDC80",1.08487627680384,0.129583773421054,0.673367712387249
"MPDZ",1.14953766466677,0.131995265456152,0.673367712387249
"TGFBI",0.920784890092574,0.135632861338982,0.673367712387249
"CALD1",1.09174752227095,0.131628728409792,0.673367712387249
"B4GALNT1",1.33817149953861,0.136164393501185,0.673367712387249
"GCNT3",1.07124677051458,0.136122820836164,0.673367712387249
"TNFRSF13C",1.1622633005646,0.133523240165232,0.673367712387249
"PRICKLE2",1.18533265335535,0.133769395130557,0.673367712387249
"GASK1B",1.11475384103256,0.13390178689709,0.673367712387249
"C5orf46",1.11821625051585,0.135747596537907,0.673367712387249
"HHIPL1",1.20445324907589,0.132157638731877,0.673367712387249
"NUGGC",1.19316122919075,0.133794346584411,0.673367712387249
"IGLV1-36",1.06133566353589,0.131700533278212,0.673367712387249
"BTBD19",1.16077238520212,0.134848339702608,0.673367712387249
"AC013470.2",1.37895990587525,0.129332122395543,0.673367712387249
"SCARF2",1.11622886180969,0.127465615660107,0.673367712387249
"WHAMMP2",1.57683872102227,0.134831279137956,0.673367712387249
"PROX1",0.904672753463965,0.137202793769503,0.673586179556798
"CDH2",1.17167770519116,0.137197545604675,0.673586179556798
"TRO",1.22255252868076,0.147715857272133,0.673877192784955
"FERMT2",1.11029191009457,0.142010864262717,0.673877192784955
"GLI2",1.16764263642656,0.148239322903657,0.673877192784955
"OSBPL6",1.26312010303755,0.149527322177412,0.673877192784955
"TPTEP1",1.29145588078305,0.137873687331961,0.673877192784955
"ZDHHC15",1.4169062265066,0.143367144718506,0.673877192784955
"ASPN",1.07231392013899,0.148884152022908,0.673877192784955
"AKT3",1.13816269058698,0.149330074479521,0.673877192784955
"SLAMF1",0.832663830398503,0.144209485529,0.673877192784955
"TNN",1.38600002096926,0.145650983962493,0.673877192784955
"CRISPLD1",1.14231678866721,0.148843327240791,0.673877192784955
"GFPT2",1.09829395985162,0.144390831554901,0.673877192784955
"DDIT4L",1.14656466595677,0.147498607756715,0.673877192784955
"GFI1",0.874734060300192,0.143188582012888,0.673877192784955
"COL22A1",1.19403376267366,0.146059156933055,0.673877192784955
"LSAMP",0.872204903100486,0.142725117818087,0.673877192784955
"GPRIN2",1.12181715910846,0.146460571174949,0.673877192784955
"TENM3",1.14573883608778,0.149695228803152,0.673877192784955
"LINC01811",0.831057914410567,0.146666998029758,0.673877192784955
"AL691447.2",1.44160408387304,0.142651457321486,0.673877192784955
"AL391845.2",1.25603717479547,0.140462531632808,0.673877192784955
"DUBR",1.37848131813832,0.143210765981628,0.673877192784955
"LINC01605",0.882733055246838,0.143941579754568,0.673877192784955
"MAGEL2",1.38430670730408,0.140535869403825,0.673877192784955
"AC093908.1",0.796993117629487,0.148803547990254,0.673877192784955
"IGKV2D-24",0.920282536615957,0.150819456933093,0.676689947497818
"NUAK1",1.13774706089207,0.153862876368982,0.681320906797289
"CXCL10",0.937813406897972,0.152866287973841,0.681320906797289
"PCDH7",1.12935633419467,0.153829646972865,0.681320906797289
"TRDC",1.10091032491038,0.152650523039309,0.681320906797289
"TSHZ3",1.15393848135814,0.156113979046482,0.686800135090852
"MIR100HG",1.21683206033838,0.155708208822126,0.686800135090852
"SERPINE1",1.0764918208812,0.157017328125734,0.688538768965599
"CYP46A1",1.966970985286,0.166544986488883,0.691103851696524
"PHACTR3",1.12382351525192,0.163178684566936,0.691103851696524
"R3HDML",0.910211644417742,0.160903514160675,0.691103851696524
"GLI3",1.14809045632218,0.15964963589232,0.691103851696524
"EVA1A",0.918409207866532,0.167712470287763,0.691103851696524
"FAM126A",1.15133255582442,0.161196885535477,0.691103851696524
"OMD",1.0994006034584,0.166706109743888,0.691103851696524
"FST",1.13038671032422,0.1581854727925,0.691103851696524
"RBMS3",1.21126686169825,0.167198986268739,0.691103851696524
"DNASE1L3",0.917709289435387,0.167803075430374,0.691103851696524
"RILP",1.14457952805521,0.163951973024567,0.691103851696524
"C3orf80",1.13986385390542,0.16601545144154,0.691103851696524
"PRKD1",1.13835102148477,0.160787826804339,0.691103851696524
"SPRED3",1.22446849726271,0.166738753176904,0.691103851696524
"ZNF667",1.46172402843337,0.158799305363501,0.691103851696524
"INSYN2B",0.714563207361542,0.16765379367498,0.691103851696524
"WNT5A-AS1",0.88315007815723,0.162892189838784,0.691103851696524
"CARMN",1.10904186518754,0.166220954150262,0.691103851696524
"AC108134.3",0.912456748365874,0.166027279398601,0.691103851696524
"WHAMMP3",1.55632731213863,0.166503800639841,0.691103851696524
"NUDT11",1.18373594133915,0.168977565627731,0.693832125532047
"ADAMTS4",1.10797595528386,0.171072737714597,0.694022633542751
"BEAN1",1.19853745849389,0.169595449422913,0.694022633542751
"PABPC5",1.30307352208597,0.170948088116555,0.694022633542751
"TRBV20-1",0.904128314982946,0.170314477867494,0.694022633542751
"LGALS2",0.938172567179971,0.171860373534793,0.695136734745209
"COL4A2",1.11658185634447,0.176109119300263,0.696082195192853
"AMIGO2",1.10068113071837,0.174704811065156,0.696082195192853
"VSTM4",1.13914776190144,0.176423609381614,0.696082195192853
"JCAD",1.10046495215514,0.175876748588569,0.696082195192853
"AMOTL1",1.10370987886048,0.176762973648036,0.696082195192853
"HDGFL3",1.11507821196817,0.176338473958359,0.696082195192853
"PSMB8",0.874488901927244,0.17280338844663,0.696082195192853
"LINC01807",1.14502976468675,0.177231260030653,0.696082195192853
"AC080038.1",1.23091410743709,0.177087759730156,0.696082195192853
"SMIM33",0.896723407224847,0.175019014773571,0.696082195192853
"KRT23",0.957929143756109,0.178643873647317,0.697586307758255
"TMEM45A",1.1214489294736,0.178230893150205,0.697586307758255
"THSD7A",1.19662939891985,0.17922353628317,0.697838769148549
"RGS4",1.11792748715495,0.181441898496945,0.704452070095587
"COL7A1",0.916783575667975,0.185534982883169,0.712360245847641
"SPP1",1.04655114761509,0.187525771377594,0.712360245847641
"ECHS1",1.19365952471331,0.184020920115295,0.712360245847641
"P4HA3",1.12726130226513,0.186989727568417,0.712360245847641
"PYGO1",1.16674029182824,0.18496222245718,0.712360245847641
"DCHS2",1.24665807599536,0.185857534868075,0.712360245847641
"LINC00892",1.34997566318286,0.186775402069831,0.712360245847641
"AP001528.2",1.18732307923077,0.187684581378308,0.712360245847641
"NALCN",1.39742987344173,0.19068086440475,0.712562742608066
"COL12A1",0.926372323274028,0.19001213960876,0.712562742608066
"CSRNP3",1.25282298258607,0.190893192300168,0.712562742608066
"PNMA8A",1.14552917769022,0.189182624526558,0.712562742608066
"CACNB4",0.413175756635395,0.189350603020271,0.712562742608066
"BNIP3P11",1.1211296495969,0.18843450339147,0.712562742608066
"OR2I1P",0.933819328395283,0.192491583049575,0.716555206132347
"BDNF",1.37035359262812,0.195573689083753,0.726033832078043
"ACTA2-AS1",1.15235340898146,0.196673663221463,0.728122441707874
"DLX6",0.876176420871544,0.203290709171038,0.728397775270304
"BARX2",1.07785533426243,0.205399421313499,0.728397775270304
"PCYT1B",1.34616422847677,0.19729025108523,0.728397775270304
"ALDH1L2",1.11443671416668,0.201353634229463,0.728397775270304
"MMP16",1.22261795428605,0.202610150904779,0.728397775270304
"TMSB15A",0.866375247785945,0.198940738426522,0.728397775270304
"NDST3",0.578756069597812,0.201241196926072,0.728397775270304
"SH3TC2",0.843024516997042,0.205297387783571,0.728397775270304
"HTRA3",1.08010970716359,0.200764039449187,0.728397775270304
"C1QB",1.07779596610174,0.2025852882185,0.728397775270304
"MRPL41",1.11391519647444,0.202080156977044,0.728397775270304
"PCP4",1.05191072806867,0.205886603637289,0.728397775270304
"OPCML",1.44954430200836,0.204261542446354,0.728397775270304
"VGLL3",1.11050763298439,0.204732727234064,0.728397775270304
"IGKJ3",0.957287404495221,0.200130394120762,0.728397775270304
"LINC00996",0.836853390329813,0.205109350483213,0.728397775270304
"PCDHGA12",1.22746871107816,0.202277755260352,0.728397775270304
"AMN",1.08261419157552,0.207330373354107,0.731595458059415
"TBX18",0.888093358190905,0.209699513375102,0.734935397487617
"IL18RAP",0.833541935239775,0.20990405817543,0.734935397487617
"LBP",1.08722765156968,0.209131939761922,0.734935397487617
"C1QTNF3",1.12838437941871,0.214799168792919,0.750136272459807
"MEIS1",1.11496109302485,0.222353415177921,0.750207245061498
"TMEM47",1.08977797820869,0.21955447314508,0.750207245061498
