"gene","p"
"PHLPP1",0.00142037276441662
"HAS1",0.00142228282473032
"LANCL2",0.0014235742259348
"PAEP",0.00142810011851709
"GPR174",0.0014342373418703
"WNT7A",0.00143709593511337
"ALPP",0.00145368048472943
"TMEM136",0.00145417343381673
"MRPS25",0.00145750207224177
"NRP2",0.00146215909684644
"COX5B",0.00148068654056909
"C6orf15",0.00148307669198288
"EFS",0.00148318202744709
"HNF4A",0.00149796809384437
"LINC00883",0.00150033390400631
"LMCD1",0.0015087605628349
"TPRN",0.00151189204848406
"LRRC59",0.00152270476781225
"PSMB10",0.00152928620079351
"CCDC34",0.00153012951259732
"GCDH",0.00153671874745789
"BVES-AS1",0.00155244166973646
"GAR1",0.00155912976457062
"HOXB2",0.00157039265951877
"LINC00460",0.00157546071557887
"MARC1",0.00157629531315042
"TRPS1",0.00157671079922721
"ETV5",0.0015808318284894
"FRAT2",0.0015826712719976
"PIP5K1B",0.0015871581024539
"CYR61",0.00160433076541256
"ARHGAP29",0.00160550969867008
"ANXA8 /// ANXA8L1",0.00161029557042635
"CEP170 /// CEP170P1",0.0016174488521961
"SAV1",0.00163017129529319
"XKRX",0.00165376496468009
"ALG12",0.00165949223878488
"KIF7",0.00166323423306188
"DLX1",0.00166742920416076
"ACADSB",0.00170092400080554
"SLC25A5",0.00170139748206377
"COX4I1",0.00171125746801769
"RP11-33O4.1",0.00171611196285686
"COQ3",0.00172830612591754
"MEX3B",0.00173619452050987
"GUCY1A2",0.001789708255868
"SEMA4C",0.00179514427566891
"AIMP2",0.00179968465393492
"CISD3",0.0018043548317369
"TMX2",0.00180545525694136
"HSD11B2",0.00180838419617499
"AL132709.8",0.00181551818766164
"FZD5",0.00182190834299028
"FRG1 /// LOC100289097 /// LOC101930278 /// LOC101930531",0.00182193070449465
"CDK5RAP1",0.00183065791041504
"ACAA2",0.00184119603547602
"PRDM6",0.00184231948602281
"IFI35",0.00184697540521169
"PMM1",0.00184711256881314
"METAP1",0.00184822387792922
"MLEC",0.00185119120511516
"PCDHGA1 /// PCDHGA10 /// PCDHGA11 /// PCDHGA12 /// PCDHGA2 /// PCDHGA3 /// PCDHGA4 /// PCDHGA5 /// PCDHGA6 /// PCDHGA7 /// PCDHGA8 /// PCDHGA9 /// PCDHGB1 /// PCDHGB2 /// PCDHGB3 /// PCDHGB4 /// PCDHGB5 /// PCDHGB6 /// PCDHGB7 /// PCDHGC3 /// PCDHGC4 /// PCDHGC5",0.00186103016692667
"ST6GALNAC1",0.00187154986399633
"TSPAN15",0.00187292062477699
"LETM1",0.0018803751608165
"MRPL41",0.00189266422885302
"LRR1",0.00189425777480477
"FITM2",0.00192036885890004
"ITGB5",0.00193010148255511
"STOX1",0.00194076603417787
"IQCJ-SCHIP1 /// SCHIP1",0.0019562298853887
"ZNF641",0.0019599425084388
"TSPYL2",0.0019651815559636
"NANS",0.00197119502403014
"IDH1",0.0019797169152028
"WFS1",0.00198040222876793
"ISM1",0.00198076143966276
"PAK1",0.00198254696739062
"STEAP4",0.00198806555405871
"MAPKBP1",0.00199867759273427
"PSG2",0.00202795160682152
"BC041998",0.00202973196691779
"MRPS35",0.0020621975053388
"TACO1",0.00206758287818514
"ZFPM2",0.0020716531341611
"BC028670",0.00207537861085216
"DUSP16",0.00208232136905738
"AMACR",0.00208704395916427
"CST6",0.00208848504019162
"IL22RA2",0.00212333715695759
"GTSE1 /// TRMU",0.00212512111487274
"CYCS",0.00213119903077841
"MTMR4",0.00214086750816378
"ANGPT2",0.00214182597180813
"JUP /// KRT17",0.00214432707928753
"BRI3BP",0.00214885172016167
"HLX",0.00216924891440448
"PRR15",0.00216949499833536
"AMACR /// C1QTNF3-AMACR",0.00217081249294604
"KIAA1024",0.00218647592471035
"CERCAM",0.00220850494854038
"EGR2",0.00223674427153327
"BC030152",0.00224280493373427
"NHSL1",0.00224967130275874
"MAP4K4",0.00225079784785573
"ZNF622",0.00225790806327918
"PTRHD1",0.00226374065145274
"RNF34",0.00226610009416756
"SLC11A1",0.00227183799271398
"RAVER2",0.00227367897134081
"LINC00216",0.00230034174817131
"PIGR",0.0023006473242745
"ATPIF1",0.00230421630718656
"RAB40B",0.00232046073898932
"PMM2",0.00233038201124048
"RBMS3",0.00233250902391784
"WDR47",0.00234804124285606
"HIVEP2",0.00237957441483634
"IER5L",0.00240104765514756
"FXYD3",0.00240535944594549
"PGR",0.00240821616672711
"PHACTR4",0.00241279600197844
"SDSL",0.00241616330613479
"ACSL5",0.00243665935394733
"GALK1",0.00244409907358599
"COX10",0.0024490433393759
"THBS3",0.00245675219644044
"ZNF442",0.00248519155180267
"OXNAD1",0.00249620524467868
"AK021977",0.00249754534759847
"EHD2",0.00250350858408886
"RNF114",0.00252106740267583
"SNED1",0.00252130753041716
"KIF26B",0.00254145100672282
"AX748294 /// RP11-1006G14.1",0.00255204643965559
"HIST2H2BE",0.00255561183716099
"PRIM1",0.00261015971789428
"ZNF667-AS1",0.00263488428649617
"SCML4",0.00268143544109538
"MPC2",0.00268269907407953
"GUSBP3 /// SMA4 /// SMA5",0.00269170814442686
"C14orf2",0.00270028687437499
"IP6K2",0.00273342883166236
"REEP4",0.00274694100430421
"IGFBP7",0.00275150520104758
"MMP19",0.00275568825708062
"OXSM",0.0027613818136185
"JUNB",0.00276188894819903
"FAM166A",0.00277377820557469
"DGCR9",0.00279031609748019
"ZNF532",0.00279349387689346
"LOXL4",0.00281891232799396
"MAPKAPK5",0.00284149459181771
"SYBU",0.00284340932452634
"MICU3",0.00284923070670617
"TST",0.00285648547255947
"GJC1",0.00286037726247437
"PPP1R1B",0.00288291050675824
"ACVR1B",0.0029062835955325
"LRCH1",0.00292485150148583
"CYP4V2",0.00293406451313331
"DDX39A",0.00293877069190845
"PET100",0.0029498709237383
"PTPRU",0.0029588980124014
"GJA1",0.0029828111978797
"FSTL3",0.00299100334669561
"ARHGEF2",0.00299324496632617
"TMEM19",0.00299782180888874
"GPN2",0.00299824001579398
"SLC39A13",0.00300308452245527
"ELOVL7",0.00300527214783917
"DNM1P35",0.00301711118296939
"TMEM205",0.00302206844495505
"PRKCZ",0.00304979120617047
"FAM3C",0.00305017541790008
"KRT16",0.00305019708123784
"CPA4",0.00305430063318103
"LOC100506119",0.00306967504947461
"RP11-305O6.3",0.0030744965629511
"RPP14",0.00307759216524614
"NOTCH4",0.00308446672114598
"AX747064",0.00311680379570979
"FA2H",0.00312415137167583
"FAM134B",0.00312598772132574
"CCDC8",0.00313559979910665
"HSPA6",0.00317484999105286
"SLC2A1",0.00319073047916439
"BC045560",0.0031971466238194
"C11orf97",0.00320162760889942
"NRK",0.00320384875288988
"VSIG10",0.00321434464163613
"MRPL27",0.00322340514620094
"KIF15",0.00324975711599631
"LINC00675",0.00325950794216231
"FLJ41455",0.00326395695349865
"FAM162A",0.00328750724422816
"GEMIN7",0.00330527534905868
"SIMC1",0.00331548204066007
"NOSIP",0.00331736048892456
"G0S2",0.00331871411846955
"BTBD19",0.00332523728206635
"USP30-AS1",0.00334467107576105
"RAB11FIP1",0.00335138805976341
"MLXIP",0.0033522616587975
"MFSD9",0.00336831757063972
"ITGB1",0.0033767548889596
"HOXB-AS3",0.00338133501404084
"ARMCX2",0.00338360871479994
"STAP2",0.00338871548119925
"PRKD1",0.00341427426318568
"NDUFA12",0.00342947428522467
"GGT6",0.00348424972986806
"CYB5A",0.00348457986352109
"PRO2852",0.00348874311687241
"APOL6",0.00348923116657818
"LOC157860",0.0035108649156026
"SHQ1",0.00351442954482575
"EIF3K",0.00351965429393203
"MDH2",0.00352799168495628
"GATA6",0.00354061915017624
"C4orf19",0.0035441039406535
"CISH",0.00355688247266834
"HMGCR",0.00356346297105443
"PROC",0.00356639252791675
"SPINK1",0.00358169812139675
"HAUS8",0.00358236277027082
"LOC100505817",0.00358290975258525
"SLC24A2",0.00358471737844547
"HNRNPA3P1",0.00360206984319604
"LATS2",0.00360301200581314
"SRGAP2B /// SRGAP2C /// SRGAP2C",0.00360584139795608
"TUSC2",0.00361159728723559
"C2orf47",0.00361841592820272
"COX16 /// SYNJ2BP-COX16",0.00361851680535556
"LAMC2",0.00362346769488055
"SFXN4",0.00363340318600263
"GALNT4 /// POC1B-GALNT4",0.0036336689920717
"MEF2BNB",0.00364387260693193
"ASB8",0.00365209514779444
"HOXC4",0.00365340849862685
"ASRGL1",0.00366773859611452
"ZSCAN25",0.00367720203430824
"GUCY2C",0.0036974236558423
"S100A11",0.00371036310604173
"ZNF57",0.00371081685873599
"EGR1",0.00372421154133907
"ALDH1L2",0.00375719685465519
"AKAP8",0.00376593913164096
"SOX17",0.00376934719863353
"PLK3",0.00377196654368423
"PTTG3P",0.00378061599408235
"RDX",0.00378310227478844
"SNORD89",0.00382971459005641
"PA2G4",0.00383170602355371
"S100A11P1 /// S100A11P1",0.00387217970810002
"CBL",0.00388278549891628
"FTSJ3",0.00388500262332527
"RP11-216L13.19",0.00388981808814619
"PRELID1",0.00389057276155199
"WT1-AS",0.00390928790568695
"RP11-443B7.1",0.00391245633720167
"ANG",0.00392674055974552
"SRRT",0.00393628317639367
"PREX2",0.00396165136594557
"DIRC3",0.00396859175672147
"VWF",0.00397121504600324
"RXFP1",0.00397770323281948
"CASP1",0.00397974777676502
"FLJ90680",0.00398041489591257
"ACTA2 /// ACTA2",0.00398070506878834
"ANKRD9",0.00398668054829632
"TRPM4",0.00399946031931737
"HOXC6",0.00402397768923265
"AF086126 /// C16orf52",0.0040279505893127
"WBP11",0.00403764017149884
"SPTBN5",0.00406551656823224
"NOTCH2",0.00406590553466972
"RP11-164P12.4",0.00406889784005424
"PARPBP",0.00407789651191117
"RP11-180N14.1",0.00409240533537052
"SRGAP2C",0.00411496076552512
"L3MBTL4",0.00411625068282191
"LRRC75A",0.00412963055984217
"GPATCH3",0.00413195570270117
"VEGFC",0.00413695380537318
"ACVR1C",0.00414929096984854
"COX14",0.00414970962689628
"POLE",0.00415176754501132
"CARD10",0.00415627163956033
"GABBR1 /// UBD",0.00416564972480721
"AC145343.2",0.00416579804592619
"LOC101928826 /// TPT1",0.00417933050802795
"CLUH",0.00417962901655153
"CENPU",0.0041824405371868
"DDX52",0.00419448192149345
"ESM1",0.00419628388336231
"ZNF333",0.00419886107887631
"ATP10A",0.00420221859613436
"C19orf57",0.00420397604757289
"RASA3",0.00422814646051587
"LARS2",0.00423586534733822
"MPP7",0.00424019423269062
"HDAC9",0.00424621746815383
"CLN3",0.00425100884122937
"OCLN",0.00426876973297085
"CCNB1",0.00428899516269688
"CASP3",0.00429822934268961
"LOC101927829",0.00429893442011679
"TRIM23",0.00431976427123373
"CAMSAP2",0.00432429275494067
"TPI1",0.00436602369827667
"LOC400622",0.00437178006956854
"QKI",0.00438339885175879
"SPG21",0.00438607139401084
"ZSCAN5A",0.00438880002113171
"ORC1",0.00440347946934225
"PXN-AS1",0.00441513080757317
"IL22RA1",0.00442294584875931
"SERPINB3 /// SERPINB4",0.00443897662401144
"COX11",0.00444308432254909
"FILIP1",0.0045051742870364
"SERPINH1",0.00450633575908281
"PLEC",0.00452103300144526
"LSM4",0.00452224538712172
"OAS1",0.00454770034203641
"VIM",0.00455090537719324
"AKNA",0.0045785842816278
"PHB2",0.00460967918666037
"LINC00702",0.00462663254171871
"MARVELD3",0.00464570384042591
"AMOTL1",0.00466923269070563
"PMPCB",0.00468505297256804
"MRPL35",0.00469463471249511
"DAPK1",0.004709342312053
"NDUFS3",0.00472235783140841
"BICD2",0.00473196564713192
"AHNAK2",0.00475307260370531
"APOBEC3B",0.00476191668665094
"GZMB",0.00476249077374989
"CHPF",0.00476681723279479
"C9orf152",0.004771145396407
"C1orf204",0.00477779681428687
"VGLL1",0.00478754908531961
"PPFIA3",0.0047918836005089
"EXOC3L4",0.00479374159968018
"MRPS7",0.00480231048263453
"CDC42EP5",0.00480632976960229
"MIS18A",0.00483162291734376
"NT5E",0.00483957519995779
"LY75",0.00485306578112297
"PDLIM3",0.00485971862250332
"MRPS36",0.0048664528211855
"SERINC5",0.00488380097189845
"GAS6",0.00488709332364159
"MED24 /// MIR6884",0.00488839322709934
"RAPGEF5",0.00488916601098971
"LOC101929125",0.00490992154264891
"UBE3B",0.00491177768613758
"C20orf194",0.00493153253917297
"ETFB",0.00493509887174348
"BEND6",0.0049734171901457
"ABLIM3",0.00497881899960446
"PREP",0.00498269582166231
"GNL3",0.00500401497418248
"CKMT2",0.00501200396221408
"ING2",0.00502012045579187
"GPRASP1",0.00502051737229949
"CYP2S1",0.0050248500768969
"KMT2A",0.00502614889619784
"ZNF438",0.00504400985650503
"MMACHC",0.00505977411874652
"SAPCD1-AS1 /// SAPCD1-AS1 /// XXbac-BPG32J3.18",0.00507189951155128
"SUCLG1",0.00508100325287124
"DTX4",0.00508117580918615
"INTS12",0.00508235564949058
"PSMB3",0.00510766251482513
"BCL2",0.0051098404682516
"ARRB1",0.00511169252002821
"L1CAM",0.00512954180774748
"DAZAP2",0.00514714857541445
"SAMD11",0.00515337595885559
"IDH3B",0.00515909364686372
"LSM3",0.00516874069297528
"AKIP1 /// NUAK2",0.00519594043662646
"DNER",0.00519685134618393
"RPS27",0.00519815004049071
"PTTG1",0.00520221049609457
"PTX3",0.00521098359298857
"HOXA4",0.00521415147286875
"HNRNPAB",0.005217000829027
"C14orf132",0.00523502567053593
"FAM136A /// LOC100287852",0.00524088467862159
"AC073283.7",0.00525665599349886
"RNASE4",0.00527342339028386
"ELTD1",0.00527942496839039
"CLDN11",0.00528447834556165
"RP11-642D21.1",0.00528881789917899
"ITGA10",0.00530541436406717
"BCL2L14",0.00531219801794534
"RP11-73M18.7",0.00533429655767429
"STARD5",0.00535495614338508
"JAM3",0.00536668120385199
"FOXA3",0.00538078098538381
"LCMT1",0.00540350806027952
"TOMM40",0.00541964283155001
"TMEM177",0.00543592316327634
"COX6B1",0.00545680138394695
"RABGAP1",0.00546868635628474
"ACTN1",0.00547731190027824
"FBL",0.00550269453533277
"AQP5",0.00552387203792827
"SLITRK3",0.00552984162238284
"ITGBL1",0.00553424295129823
"HNF1B",0.0055482747316437
"IDS",0.00557278115606947
"CYB561D2",0.00557592853696607
"NRP1",0.00558020633404736
"SEMA3D",0.00558536094922236
"PDLIM1",0.00558633396437675
"SHD",0.00561254535548291
"TROVE2",0.00568124490480587
