"ensembl_clean","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_id","symbol"
"ENSG00000124939",-2.19470223704787,-1.53555227077298,-3.07856097742835,0.00359866171436504,0.0192287044098636,-2.14179577218519,"ENSG00000124939.6","SCGB2A1"
"ENSG00000124942",0.227473237796991,8.90981652083818,0.821965286430534,0.415588588689645,0.549443368962645,-6.69594655460706,"ENSG00000124942.14","AHNAK"
"ENSG00000125037",-0.371549835081232,5.77819500689564,-2.39504585217166,0.0210024172352613,0.0647035500179969,-4.38060874721861,"ENSG00000125037.12","EMC3"
"ENSG00000125046",0.847224995107451,0.856554612730935,1.6490917183773,0.106348063315832,0.206461786941284,-5.2885515103956,"ENSG00000125046.15","SSUH2"
"ENSG00000125089",0.207002148062224,3.6213804142047,0.902032421051279,0.372017510100635,0.508879878813441,-6.54547672570488,"ENSG00000125089.17","SH3TC1"
"ENSG00000125107",-0.140715226076278,7.67285455725311,-0.804226036746127,0.4256488991205,0.559484601512236,-6.7650414170793,"ENSG00000125107.18","CNOT1"
"ENSG00000125122",0.0371878596207461,0.687051997099625,0.146070538938062,0.88454190973207,0.923397512497043,-6.58475402941186,"ENSG00000125122.15","LRRC29"
"ENSG00000125124",-0.160257135620131,4.9401248376439,-0.927668688755446,0.358708865093487,0.496144339260875,-6.65211282595551,"ENSG00000125124.13","BBS2"
"ENSG00000125144",-3.31949113661139,4.31430119061571,-4.92422656371667,1.27209186099287e-05,0.000294806536957756,2.80612358692187,"ENSG00000125144.14","MT1G"
"ENSG00000125148",-1.49514114568575,5.84546841001329,-3.21443737208901,0.00246753562521067,0.0146697087478838,-2.39960104620809,"ENSG00000125148.7","MT2A"
"ENSG00000125149",-0.0288197318353685,4.24450259311615,-0.221545972086978,0.825706236473759,0.882250100740672,-7.002483990991,"ENSG00000125149.12","C16orf70"
"ENSG00000125166",-0.700717350235144,7.22793358626431,-3.09609726232973,0.00342915871568646,0.0185467822840686,-2.70740875594319,"ENSG00000125166.13","GOT2"
"ENSG00000125170",-1.1076308746037,6.54009089865507,-3.77250344980559,0.000485213258217036,0.00455826120776388,-0.866635965117263,"ENSG00000125170.11","DOK4"
"ENSG00000125207",1.62769666926649,0.381148888632233,1.79431936611256,0.0797282771528591,0.168506853936656,-5.01256841892974,"ENSG00000125207.7","PIWIL1"
"ENSG00000125245",-1.38497798761257,-0.280931458860832,-2.14498595324207,0.0375905567613565,0.0977056575297608,-4.32007569182404,"ENSG00000125245.13","GPR18"
"ENSG00000125246",-0.420284313460806,3.10734730302921,-1.59554630459706,0.117845571360962,0.221884209363587,-5.6289436256948,"ENSG00000125246.15","CLYBL"
"ENSG00000125247",0.760123432067875,5.22206863051155,3.50031086569089,0.00108816211039623,0.00826598463247905,-1.61949298181212,"ENSG00000125247.16","TMTC4"
"ENSG00000125249",0.735165989415181,5.85305676047588,4.3410285551119,8.35016715397581e-05,0.00121269168311741,0.826568518841293,"ENSG00000125249.7","RAP2A"
"ENSG00000125257",0.978290311137282,4.550545299232,2.99461551354569,0.00452493150688004,0.0224824650592727,-2.91569587088706,"ENSG00000125257.16","ABCC4"
"ENSG00000125266",0.472626236169503,5.95591488415446,2.1548197491054,0.0367655795863727,0.0962384450427801,-4.87882073114594,"ENSG00000125266.8","EFNB2"
"ENSG00000125304",0.258038856599178,8.58625125079292,1.30040483946555,0.200323998624896,0.324832711689663,-6.2091204189034,"ENSG00000125304.10","TM9SF2"
"ENSG00000125319",-0.372595566740917,2.45062010568461,-1.25564402372786,0.215961747485723,0.342015025945483,-6.00986053501236,"ENSG00000125319.15","HROB"
"ENSG00000125337",0.551433777574483,-1.57863828160236,1.03925746364121,0.304439093882823,0.439660641917106,-5.87278736592437,"ENSG00000125337.19","KIF25"
"ENSG00000125347",-2.06914976832376,6.28514954756732,-10.7088621740277,9.19275051491632e-14,5.63228333110779e-11,21.2108530634795,"ENSG00000125347.14","IRF1"
"ENSG00000125351",0.355382582862723,4.25380292307866,1.84385627848375,0.0720365276661436,0.156475533062532,-5.36797685086269,"ENSG00000125351.12","UPF3B"
"ENSG00000125352",-0.336643216632565,4.19621989855557,-1.17568405219153,0.246128993075199,0.376853185336381,-6.32850580433129,"ENSG00000125352.6","RNF113A"
"ENSG00000125354",-0.715324246272822,4.74525601561698,-3.04073954715209,0.0039914357489391,0.0205828746169648,-2.81177583893969,"ENSG00000125354.24","SEPTIN6"
"ENSG00000125355",0.473147429954596,-0.0408072740538271,1.14089911634486,0.260167062141003,0.392613563757428,-5.88923570534581,"ENSG00000125355.16","TMEM255A"
"ENSG00000125356",-0.951722621600849,6.50566181658501,-3.53787294534573,0.000974901038762414,0.00762842366602115,-1.53326607411336,"ENSG00000125356.7","NDUFA1"
"ENSG00000125363",2.10550288429786,-2.62712211768818,3.1623751373326,0.00285406811484194,0.0162682666157424,-1.88333611986894,"ENSG00000125363.14","AMELX"
"ENSG00000125375",-0.404499604897168,3.96027695053952,-2.96830716665908,0.00485845018008836,0.0235102448118733,-2.9259327241526,"ENSG00000125375.16","DMAC2L"
"ENSG00000125378",0.609020104605193,5.69713360133326,1.33557083657584,0.188650358057861,0.311048601470223,-6.22684617190137,"ENSG00000125378.16","BMP4"
"ENSG00000125384",-0.682997587788988,2.15891649951064,-1.85293431626546,0.0706973626883787,0.154336097635937,-5.08674669623676,"ENSG00000125384.7","PTGER2"
"ENSG00000125386",-0.0701755909629152,4.73858662017922,-0.519216015053641,0.606247359038218,0.718844010964821,-6.93516186569565,"ENSG00000125386.16","FAM193A"
"ENSG00000125388",0.292555784238573,1.31315977414076,1.39889753294636,0.168948226688267,0.287093062078864,-5.6957570731147,"ENSG00000125388.20","GRK4"
"ENSG00000125398",0.616906710891186,7.52045821118737,2.45900168808398,0.0179925287548237,0.0580964293094652,-4.22026911177239,"ENSG00000125398.8","SOX9"
"ENSG00000125430",0.533463332320641,1.72023363860889,1.65330265460504,0.105484293138444,0.205191492337766,-5.36918704617164,"ENSG00000125430.9","HS3ST3B1"
"ENSG00000125434",-1.02520302735108,2.26917462257548,-3.58380452371572,0.00085170712860889,0.00689169210214853,-1.09544621772068,"ENSG00000125434.11","SLC25A35"
"ENSG00000125445",-1.1290853406749,5.67685762529279,-3.70542489138301,0.000593460656265824,0.00529362585384338,-1.05122981803241,"ENSG00000125445.11","MRPS7"
"ENSG00000125447",-0.390231618768315,5.27700852916148,-2.13876314424257,0.0381209818611931,0.0986666627551885,-4.89257905694267,"ENSG00000125447.18","GGA3"
"ENSG00000125449",-1.0424505029952,3.98833426547927,-3.70009129661133,0.000603001572789334,0.00535679602904743,-0.954876395815919,"ENSG00000125449.7","ARMC7"
"ENSG00000125450",-0.413777516289201,5.49575988081412,-2.12695772717707,0.0391453820745698,0.100615880240062,-4.92370501066435,"ENSG00000125450.11","NUP85"
"ENSG00000125454",-0.461008029381743,3.04666293206652,-2.21728334100542,0.0318885119409146,0.0868824576311245,-4.51593289176559,"ENSG00000125454.12","SLC25A19"
"ENSG00000125457",-0.807460348238514,4.38023430610266,-2.79878578473015,0.00762241208576459,0.0320628644826219,-3.37684827211194,"ENSG00000125457.15","MIF4GD"
"ENSG00000125458",-1.30650113125937,4.07568101280694,-3.5828307644496,0.00085415659430634,0.00690296545258454,-1.28778642135263,"ENSG00000125458.7","NT5C"
"ENSG00000125459",-0.148510026321137,2.67303469665249,-0.63007218678009,0.531950111167431,0.656557373594501,-6.62324720867126,"ENSG00000125459.17","MSTO1"
"ENSG00000125462",0.670948437208939,-1.39379267270483,1.64737242756433,0.106702397903514,0.206901752741166,-5.1085601518622,"ENSG00000125462.19","MIR9-1HG"
"ENSG00000125482",0.073467467007013,3.91187109833568,0.539329419479935,0.592415236379011,0.707276405093588,-6.84329627862664,"ENSG00000125482.13","TTF1"
"ENSG00000125484",0.00227865847382565,5.50384466745563,0.0161417468025938,0.987195270245267,0.992103668482685,-7.11159417141962,"ENSG00000125484.12","GTF3C4"
"ENSG00000125485",0.0935816355398691,4.30023860042632,0.495798888290606,0.622537201115369,0.73154504507485,-6.90898130448601,"ENSG00000125485.17","DDX31"
"ENSG00000125503",-0.54353305725296,5.96630411769952,-2.45603693433623,0.0181229245232964,0.0583445087362479,-4.2503555352926,"ENSG00000125503.13","PPP1R12C"
"ENSG00000125505",-0.677082769755251,6.69482673454075,-2.95514883909731,0.00503376624495979,0.0240982405688655,-3.07596878773758,"ENSG00000125505.17","MBOAT7"
"ENSG00000125508",0.408153731815493,1.60807901555216,0.662395211309754,0.511219586599124,0.638243200131332,-6.47101480054849,"ENSG00000125508.3","SRMS"
"ENSG00000125520",-0.415282023721121,5.45299714872171,-1.19029991866728,0.24039733727988,0.370937577200973,-6.39990904509137,"ENSG00000125520.14","SLC2A4RG"
"ENSG00000125531",1.51617777967066,-0.412806328211943,3.12041945217856,0.00320647727159434,0.0177237646988663,-2.11595970372183,"ENSG00000125531.7","FNDC11"
"ENSG00000125534",-1.06507290385016,8.24542407082106,-2.37811662962415,0.0218717377143622,0.0663570114800661,-4.36830663573456,"ENSG00000125534.10","PPDPF"
"ENSG00000125538",-0.0235765915112145,3.57818446072572,-0.0383861469522949,0.969555797528537,0.980480657545793,-6.94657777855809,"ENSG00000125538.12","IL1B"
"ENSG00000125611",-0.830849674595266,4.00998654254215,-2.66117014123963,0.010872585506211,0.0409072944607124,-3.66381364558067,"ENSG00000125611.15","CHCHD5"
"ENSG00000125618",0.00973602205345309,2.38041154794077,0.0257540822035776,0.979571515714043,0.98681939867894,-6.78419273013829,"ENSG00000125618.17","PAX8"
"ENSG00000125629",0.403502883655344,4.73087867744028,3.12023784456799,0.00320808827820452,0.0177276715846893,-2.61311158836777,"ENSG00000125629.15","INSIG2"
"ENSG00000125630",0.249673937121463,5.35728739050895,1.50080585566925,0.140644823362995,0.251546979630115,-5.99094926733222,"ENSG00000125630.16","POLR1B"
"ENSG00000125633",0.185800276615641,5.45103045220672,1.19191534301173,0.239769864637188,0.370293983643874,-6.39969567134707,"ENSG00000125633.11","CCDC93"
"ENSG00000125637",-0.647061201693991,6.30481474270846,-3.33860983535428,0.00173597975311416,0.0115374979795106,-2.0824538323078,"ENSG00000125637.16","PSD4"
"ENSG00000125648",-1.14154856988749,6.16485115403664,-3.5798706362953,0.000861644280962483,0.00693941308320367,-1.41453505608665,"ENSG00000125648.15","SLC25A23"
"ENSG00000125650",-0.54968353022205,1.83351681765919,-2.64938434156282,0.0112032993956628,0.0417747980128118,-3.43809565369196,"ENSG00000125650.4","PSPN"
"ENSG00000125651",-0.633294584117154,6.57030920715677,-2.17182630369393,0.0353764783109812,0.09358942568683,-4.84424740881835,"ENSG00000125651.14","GTF2F1"
"ENSG00000125652",-1.6444382390518,5.40509985051878,-3.64686995146565,0.000706654314855409,0.00601592032004132,-1.19792184668311,"ENSG00000125652.8","ALKBH7"
"ENSG00000125656",-1.2215404275504,5.6981166767527,-3.47954894241074,0.00115606057229981,0.00861343936866036,-1.68502071939136,"ENSG00000125656.11","CLPP"
"ENSG00000125657",-0.136961277670171,2.05420316490503,-0.224860567461305,0.82314288336879,0.880838906034085,-6.71712276378617,"ENSG00000125657.5","TNFSF9"
"ENSG00000125675",1.87594669945062,-1.76866692257104,3.19844307403967,0.00258067284582277,0.0151215396937242,-1.83351517906096,"ENSG00000125675.18","GRIA3"
"ENSG00000125676",0.383282308333026,6.18965033051292,2.11142914565772,0.0405296431676982,0.103013160615749,-4.96571799797465,"ENSG00000125676.20","THOC2"
"ENSG00000125686",0.271823410858784,5.46586293606884,1.62203413493616,0.112037593585664,0.213823523784729,-5.81254489487603,"ENSG00000125686.12","MED1"
"ENSG00000125691",-0.179150930195078,9.3221312119702,-0.75600864167247,0.453727162172527,0.586607183061784,-6.72865153313422,"ENSG00000125691.14","RPL23"
"ENSG00000125703",-0.431336089506269,3.31976499033362,-2.45364073402127,0.0182289391998006,0.0585800003198314,-4.05582094513537,"ENSG00000125703.15","ATG4C"
"ENSG00000125726",0.299436079962119,0.401938215974584,0.60465563072548,0.548555487098398,0.670621670701557,-6.38686013584574,"ENSG00000125726.11","CD70"
"ENSG00000125730",0.470152710389807,6.79274922982886,1.33196255441969,0.189823723914894,0.312221806298272,-6.23266125001816,"ENSG00000125730.17","C3"
"ENSG00000125731",-0.582164438220061,5.16579395035576,-2.59848099753822,0.0127404803563656,0.0455654611212884,-3.90758939428164,"ENSG00000125731.13","SH2D3A"
"ENSG00000125733",-0.612203787959099,5.91051284200641,-2.36697425885088,0.0224614438761533,0.0676569470941561,-4.44152113533014,"ENSG00000125733.18","TRIP10"
"ENSG00000125734",-0.917579708286597,5.9350810280702,-3.14548933102907,0.00299126262890776,0.0168670391436197,-2.58964522388713,"ENSG00000125734.15","GPR108"
"ENSG00000125735",-0.629393163583085,0.763134582567677,-1.7459306223292,0.0878973585285002,0.180338594737314,-5.12271864454129,"ENSG00000125735.11","TNFSF14"
"ENSG00000125740",-0.750948056744843,4.33638931653164,-1.26260689699798,0.213471101232462,0.338941583153071,-6.23533603058916,"ENSG00000125740.14","FOSB"
"ENSG00000125741",-0.300876211070674,4.77137716451601,-1.91289655229883,0.0623724305612465,0.141062853106909,-5.28866173344593,"ENSG00000125741.5","OPA3"
"ENSG00000125743",-0.649582640217619,7.17524282018922,-1.77141698313131,0.0835115426750773,0.174017143765285,-5.56796585004107,"ENSG00000125743.10","SNRPD2"
"ENSG00000125744",0.475825316180198,2.33328906942754,1.37038299233027,0.177612763298394,0.297885016016108,-5.85140199015306,"ENSG00000125744.12","RTN2"
"ENSG00000125746",-0.600433659212071,5.82538021717964,-2.15271471431386,0.0369408207796515,0.0965811084419053,-4.88012437370953,"ENSG00000125746.18","EML2"
"ENSG00000125753",-0.669459578290201,7.71149935707116,-2.82005140425433,0.00720921936086594,0.0308813534605938,-3.38177059821619,"ENSG00000125753.14","VASP"
"ENSG00000125755",-0.0665885120160436,6.70562748569975,-0.387649282977287,0.70016989157939,0.790938631845213,-7.0425492837716,"ENSG00000125755.19","SYMPK"
"ENSG00000125772",0.907196123980698,6.13213632172535,2.85079021260947,0.00664861103706835,0.0291551482873545,-3.33473689982234,"ENSG00000125772.14","GPCPD1"
"ENSG00000125775",-2.07225856560807,5.24259060845645,-4.55478747036549,4.22084514203608e-05,0.000725911314515434,1.5322176411876,"ENSG00000125775.15","SDCBP2"
"ENSG00000125779",0.00416716413615351,4.43936013448441,0.0312140931697922,0.975241874531205,0.984065596364236,-7.04622078702991,"ENSG00000125779.22","PANK2"
"ENSG00000125798",0.618281223838137,5.15986605970806,1.76321609044848,0.0849023444429874,0.176073129379015,-5.57139677860317,"ENSG00000125798.15","FOXA2"
