"logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_id"
2.25996907933692,1.38212397810707,10.5892703455888,1.31168072029525e-13,7.79297339457838e-11,20.7815666575035,"ENSG00000143786.8"
-3.26681773352074,1.98394860615726,-10.5243794220701,1.59195954391583e-13,8.91770251943248e-11,20.6237298989011,"ENSG00000167286.10"
3.77083263422611,2.90495180766022,10.4190508106664,2.18246636108934e-13,1.18859542987549e-10,20.3616195527843,"ENSG00000162849.16"
3.47570553235826,3.52146641890776,10.358649582287,2.6169716412053e-13,1.35746609554218e-10,20.1968552237329,"ENSG00000151388.11"
-2.48200980711882,3.4312268665261,-10.3568712878357,2.63101660872197e-13,1.35746609554218e-10,20.1915832347265,"ENSG00000100385.14"
3.33470656769774,10.2427630123056,10.2811721729759,3.30552132214697e-13,1.62635899150392e-10,19.9692253191344,"ENSG00000108821.14"
2.13425033493162,6.07249695574023,10.2799160042752,3.3180842425868e-13,1.62635899150392e-10,19.9394497148518,"ENSG00000113721.14"
2.50868206440671,0.497592436537021,10.2518687127359,3.61155125007069e-13,1.68590651925919e-10,19.7393389410955,"ENSG00000198108.4"
2.44913445253511,2.14537513084142,10.1959833218046,4.27722386563704e-13,1.95021514208558e-10,19.6881542815508,"ENSG00000152049.6"
5.61116493621325,-2.03620135337312,10.2660220401353,3.46030962209442e-13,1.65470318172642e-10,19.5313529829645,"ENSG00000083782.8"
3.07916664869982,-0.0268871117908819,10.1555451499283,4.83538062126011e-13,2.15460164682786e-10,19.4104348946224,"ENSG00000169436.17"
2.85865790622017,3.97930054465813,9.9974986831423,7.82506023489251e-13,3.21905297292767e-10,19.1220445972167,"ENSG00000113083.15"
4.02567064863731,3.40672157183069,9.99516839175112,7.88098249008101e-13,3.21905297292767e-10,19.1155781173521,"ENSG00000148848.14"
2.22169883909093,5.55312621771954,9.99831123919427,7.80565525039412e-13,3.21905297292767e-10,19.0962227625043,"ENSG00000130508.11"
-3.01126513537354,0.0972663738184078,-10.0085609363288,7.56502469728885e-13,3.21905297292767e-10,18.9852194541742,"ENSG00000188389.11"
-2.28255388792899,2.775629384415,-9.78248329220645,1.51389306807927e-12,6.05742601893105e-10,18.4734409562206,"ENSG00000013725.14"
1.91683980113872,2.38601822428564,9.77444096461172,1.55190105827876e-12,6.08531442972269e-10,18.4448165206875,"ENSG00000166073.11"
2.64462930973089,7.75272099233908,9.76057045016573,1.61973929919057e-12,6.22678601959419e-10,18.3776563015147,"ENSG00000139329.5"
-3.24444546327908,2.43797042278374,-9.70440119683484,1.92662018272157e-12,7.26409909662292e-10,18.2287841485902,"ENSG00000173762.8"
4.83939586645612,4.22743993222777,9.69729006766494,1.96946280964339e-12,7.28552600865439e-10,18.2191459549649,"ENSG00000122641.11"
3.68439094558091,2.46405630065166,9.68713153024397,2.03234511255485e-12,7.3789181993982e-10,18.1801415874567,"ENSG00000182667.14"
-2.52217762087518,1.92509102943483,-9.63827783933098,2.3643825920409e-12,8.42837910900981e-10,18.0176745725976,"ENSG00000198821.11"
2.76902654622956,6.03936189523865,9.60302601739933,2.63766391888484e-12,9.23464978458145e-10,17.8896401500379,"ENSG00000166147.14"
-3.50254642585555,2.46944401614376,-9.55920915952381,3.02242018635727e-12,1.0396064942758e-09,17.7907117244427,"ENSG00000145649.8"
-3.29350661777013,1.78094229632448,-9.54403052300155,3.16857345083898e-12,1.07108708753705e-09,17.7266188947831,"ENSG00000089692.9"
-2.40719186355047,1.9275849811198,-9.46559888831713,4.04606323423822e-12,1.32211859617458e-09,17.4975474866932,"ENSG00000096996.16"
